,noms
3032,4
3037,3
3038,4
3040,6
3041,3
3045,2
3049,1
3050,4
3051,3
3052,4
3053,1
3056,1
3059,8
3061,1
3067,1
3068,1
3069,2
3070,2
3071,1
3073,2
3077,1
3084,2
3086,4
3090,1
3091,1
3094,3
3097,1
3098,1
3099,1
3100,1
3101,1
3102,1
3103,1
3104,1
3106,2
3107,1
3108,1
3109,1
3113,1
3115,2
3116,1
3117,1
3118,6
3119,1
3121,1
3122,1
3128,1
3129,3
3131,1
3132,1
3134,9
3135,10
3136,4
3138,1
3139,1
3140,6
3141,4
3142,2
3143,3
3144,4
3145,2
3146,2
3147,4
3148,9
3153,3
3154,2
3155,2
3156,2
3157,3
3158,2
3159,8
3163,7
3166,1
3168,1
3169,8
3170,4
3173,3
3175,1
3177,2
3186,10
3189,1
3190,1
3191,1
3192,1
3193,2
3194,1
3195,1
3196,1
3198,3
3200,3
3202,1
3203,1
3204,1
3205,2
3206,1
3207,2
3209,1
3212,1
3214,3
3216,1
3218,2
3220,1
3227,1
3228,1
3229,1
3230,1
3231,1
3232,1
3233,1
3234,1
3236,1
3242,1
3243,7
3244,3
3247,1
3248,1
3256,2
3257,1
3258,1
3262,10
3263,1
3264,8
3265,6
3266,3
3267,10
3268,1
3269,8
3270,9
3272,2
3274,4
3276,1
3277,1
3282,4
3283,3
3284,4
3287,4
3294,3
3300,3
3302,1
3303,1
3304,1
3306,2
3310,1
3311,1
3312,1
3313,1
3314,1
3316,1
3318,1
3321,1
3322,1
3323,1
3330,1
3331,1
3332,1
3333,1
3334,1
3335,1
3336,1
3337,1
3338,1
3339,1
3345,1
3346,1
3352,1
3354,1
3355,1
3356,1
3362,9
3363,6
3364,7
3366,3
3368,1
3369,2
3370,5
3371,2
3372,6
3373,7
3375,6
3380,1
3383,2
3384,3
3385,9
3386,2
3387,9
3388,1
3389,6
3391,3
3396,3
3398,1
3406,1
3407,1
3408,1
3409,1
3410,2
3411,1
3412,1
3413,2
3414,1
3415,1
3417,1
3421,1
3422,1
3423,1
3424,1
3425,1
3426,2
3427,3
3429,2
3431,1
3432,1
3434,1
3436,2
3440,1
3446,1
3447,1
3448,1
3449,1
3451,1
3452,1
3453,1
3455,3
3456,1
3459,1
3460,1
3463,1
3467,1
3469,1
3473,6
3474,12
3475,6
3476,2
3477,7
3481,3
3482,8
3483,5
3484,8
3485,3
3486,6
3489,2
3492,8
3493,3
3499,3
3500,3
3501,3
3510,4
3512,4
3515,1
3516,6
3519,2
3528,1
3529,1
3530,1
3531,1
3532,1
3537,2
3538,1
3539,1
3540,1
3541,1
3542,1
3549,1
3550,4
3551,1
3552,1
3555,1
3556,1
3557,1
3563,1
3564,1
3565,1
3566,1
3567,1
3568,1
3569,1
3570,1
3571,1
3574,1
3580,12
3584,1
3586,1
3587,5
3588,1
3592,7
3593,5
3594,10
3595,1
3596,4
3597,1
3599,3
3600,6
3601,7
3602,4
3603,5
3605,5
3606,2
3609,1
3610,4
3612,10
3613,5
3616,1
3617,2
3618,1
3619,7
3626,7
3628,2
3632,5
3634,1
3635,1
3636,2
3637,2
3638,1
3647,1
3648,1
3649,1
3650,1
3651,1
3652,1
3653,1
3658,6
3659,1
3660,1
3661,1
3662,1
3663,2
3665,5
3666,3
3667,1
3669,1
3671,1
3673,1
3677,5
3678,1
3684,1
3685,1
3686,1
3687,1
3688,1
3689,1
3690,1
3691,1
3692,1
3693,7
3698,1
3699,1
3704,1
3705,1
3708,1
3714,5
3715,9
3716,11
3717,11
3718,1
3719,11
3721,3
3724,5
3726,1
3727,4
3728,2
3729,5
3731,1
3734,3
3736,9
3738,4
3740,3
3741,5
3748,1
3751,1
3752,1
3755,1
3757,4
3758,1
3759,2
3760,1
3764,7
3769,1
3770,1
3771,1
3772,1
3773,1
3774,1
3775,1
3779,2
3781,1
3782,1
3783,1
3784,1
3785,1
3786,5
3793,1
3794,1
3796,1
3800,1
3806,1
3807,1
3808,1
3809,1
3810,1
3811,1
3812,1
3813,1
3814,1
3815,1
3822,7
3827,11
3828,1
3829,1
3831,1
3832,2
3838,4
3839,5
3840,3
3841,10
3842,8
3843,3
3844,5
3847,1
3848,5
3850,1
3851,3
3853,8
3856,2
3859,5
3860,1
3861,1
3863,10
3864,6
3865,7
3866,3
3867,4
3869,5
3871,2
3873,3
3874,1
3879,1
3880,5
3881,1
3882,5
3883,2
3886,1
3887,4
3888,2
3893,1
3894,1
3895,1
3896,1
3897,1
3903,1
3904,1
3905,1
3906,1
3907,1
3908,2
3911,1
3913,1
3914,1
3916,6
3918,5
3921,1
3922,1
3928,1
3929,1
3930,1
3931,1
3932,1
3933,1
3934,1
3935,1
3936,1
3937,1
3947,1
3950,3
3952,1
3954,1
3956,10
3957,2
3958,9
3959,7
3960,5
3961,2
3962,3
3963,7
3965,6
3966,1
3967,3
3970,5
3974,1
3975,5
3976,4
3977,5
3982,9
3983,1
3984,8
3986,1
3987,1
3995,6
3996,5
3998,1
3999,1
4000,1
4004,1
4005,2
4006,4
4010,10
4011,1
4012,1
4013,1
4014,1
4015,1
4016,1
4017,1
4018,1
4019,1
4022,1
4023,8
4026,1
4027,1
4028,1
4029,1
4031,2
4035,2
4036,3
4038,2
4039,1
4040,1
4041,1
4043,1
4050,1
4051,1
4052,1
4053,1
4054,1
4055,1
4056,1
4057,1
4058,1
4059,1
4065,1
4066,6
4067,1
4076,1
4080,12
4081,12
4083,7
4084,4
4086,12
4087,2
4088,1
4089,1
4090,13
4091,1
4092,1
4093,6
4094,1
4096,1
4097,4
4098,7
4099,7
4100,2
4106,13
4109,2
4111,1
4116,1
4120,1
4122,1
4123,4
4124,1
4135,1
4136,1
4137,1
4138,1
4139,1
4140,1
4141,1
4142,1
4143,1
4144,1
4146,3
4150,1
4151,1
4152,1
4153,1
4154,1
4156,1
4159,1
4160,2
4163,2
4166,1
4169,1
4175,1
4176,1
4177,1
4178,1
4179,1
4180,1
4181,1
4187,1
4188,1
4190,1
4191,12
4196,3
4198,1
4199,1
4200,1
4202,2
4203,5
4204,4
4205,1
4206,8
4207,4
4208,2
4209,10
4212,10
4213,5
4214,3
4215,5
4217,3
4220,5
4222,2
4224,8
4225,2
4227,5
4228,10
4229,5
4232,1
4234,2
4239,5
4244,1
4253,5
4255,10
4256,1
4257,1
4258,1
4259,1
4260,1
4261,1
4262,1
4263,1
4264,1
4265,1
4266,1
4267,5
4272,1
4273,1
4274,1
4275,1
4276,1
4281,4
4283,1
4285,4
4289,1
4291,1
4297,1
4298,1
4299,1
4300,1
4301,1
4302,1
4303,1
4304,1
4308,1
4310,5
4311,1
4313,1
4319,1
4321,1
4322,1
4327,4
4328,13
4329,5
4330,8
4331,8
4333,4
4334,4
4336,8
4337,4
4338,1
4340,2
4341,13
4344,7
4346,1
4347,4
4348,3
4349,2
4350,2
4352,5
4353,3
4354,2
4355,2
4360,1
4362,5
4365,3
4368,1
4377,2
4382,1
4383,1
4384,1
4385,1
4386,1
4387,1
4388,1
4389,1
4390,1
4391,1
4393,3
4397,1
4398,1
4399,4
4400,1
4401,1
4402,1
4403,2
4407,1
4409,1
4410,1
4411,1
4416,1
4422,1
4423,1
4424,1
4425,1
4426,1
4427,1
4444,1
4446,1
4451,10
4452,7
4453,4
4454,7
4455,10
4456,4
4459,4
4463,1
4464,1
4465,10
4466,7
4467,1
4468,10
4471,5
4472,9
4474,2
4477,5
4480,4
4483,1
4487,7
4490,7
4491,1
4492,1
4493,1
4494,1
4495,1
4496,1
4497,2
4498,1
4499,1
4500,1
4501,1
4506,1
4507,1
4508,1
4509,1
4510,1
4513,1
4515,7
4520,1
4521,1
4522,1
4523,1
4524,9
4531,1
4532,1
4533,1
4534,1
4535,2
4536,1
4537,1
4543,4
4546,1
4551,1
4553,1
4555,1
4556,1
4560,2
4561,1
4562,11
4563,7
4564,1
4565,2
4566,3
4567,7
4569,2
4570,7
4571,2
4572,1
4573,8
4574,4
4576,2
4578,8
4580,11
4581,2
4583,4
4584,2
4586,2
4588,4
4592,2
4595,2
4598,4
4600,1
4601,1
4602,1
4603,1
4604,1
4605,1
4606,1
4607,1
4608,1
4609,1
4610,2
4612,2
4614,1
4615,1
4616,1
4617,1
4618,1
4619,2
4620,1
4624,2
4625,2
4629,1
4630,1
4631,1
4634,2
4640,1
4641,1
4642,1
4643,1
4644,1
4645,1
4646,1
4647,1
4648,2
4654,4
4659,2
4662,1
4663,2
4668,10
4669,7
4670,2
4672,2
4673,2
4674,4
4675,2
4677,9
4679,9
